Datum letzte Änderung_Modul;AGS;Regierungsbezirk;Landkreis;Gemeinde;Datum_Modul1; Link_Modul1; Datum_Modul2; Link_Modul2; Datum_Modul3; Link_Modul3; Datum_Modul4; Link_Modul4; Datum_Modul5; Link_Modul5; Datum_Modul6; Link_Modul6; Datum_Modul7; Link_Modul7; Datum_Modul8; Link_Modul8; Datum_Modul9; Link_Modul9;Status Verfahren
;09575153;Mittelfranken;Neustadt a.d. Aisch;Neustadt a.d.Aisch, St;2014-04-29;http://www.neustadt-aisch.de;2014-06-14;http://breitband.regensburg-it.de/neustadtanderaisch#markterkundung-anfrage;2014-08-06;http://breitband.regensburg-it.de/neustadtanderaisch#markterkundung-ergebnis;2014-10-16;http://breitband.regensburg-it.de/neustadtanderaisch#auswahlverfahren-bekanntmachung;2015-05-28;http://breitband.regensburg-it.de/neustadtanderaisch#auswahlverfahren-ergebnis;2015-10-13;http://breitband.regensburg-it.de/neustadtanderaisch#auswahlverfahren-bekanntmachung;2015-08-27;http://breitband.regensburg-it.de/neustadtanderaisch#kooperationsvertrag-1446;;;;;;
;09374139;Oberpfalz;Neustadt a.d. Waldnaab;Neustadt a.d.Waldnaab, St;2014-11-19;http://www.neustadt-waldnaab.de;2014-11-19;http://breitband.regensburg-it.de/neustadt_wn#markterkundung-bekanntmachung;;;;;;;;;;;;;;;;
;09374140;Oberpfalz;Neustadt a.d. Waldnaab;Neustadt am Kulm, St;2014-08-26;http://www.neustadt-am-kulm.de;2014-08-26;http://breitband.regensburg-it.de/neustadt-am-kulm#markterkundung-bekanntmachung;2015-06-27;http://breitband.regensburg-it.de/neustadt-am-kulm#markterkundung-ergebnis;2015-06-27*;http://breitband.regensburg-it.de/neustadt-am-kulm#auswahlverfahren-bekanntmachung;;;;;;;;;;;;
;09772184;Schwaben;Augsburg;Neusäß, St;2014-08-15;http://www.neusaess.de/de/Aktuelles/Breitbandausbau;2014-08-15;http://www.neusaess.de/de/Aktuelles/Breitbandausbau;2015-01-15;http://www.neusaess.de/de/Aktuelles/Breitbandausbau;2015-01-15;http://www.neusaess.de/de/Aktuelles/Breitbandausbau;2015-10-10;http://www.neusaess.de/de/Aktuelles/Breitbandausbau;2015-09-28;http://www.neusaess.de/de/Aktuelles/Breitbandausbau;;;;;;;;
;09375174;Oberpfalz;Regensburg;Neutraubling, St;2014-10-07;http://www.neutraubling.de;2014-10-07;http://breitband.regensburg-it.de/neutraubling#markterkundung-anfrage;;;;;;;;;;;;;;;;
13.08.2015_4;09171125;Oberbayern;Altötting;Neuötting, St;2014-11-27;http://www.neuoetting.de;2014-11-27;http://www.neuoetting.de;2015-06-06;http://www.neuoetting.de/details_news.php?lang=de&size=16&datei_uebergabe=&nummer_uebergabe=13118&user_uebergabe=neuoetting&rubrik_uebergabe=20600&session_id=4-2;2015-06-06*;http://www.neuoetting.de/details_news.php?lang=de&size=16&datei_uebergabe=&nummer_uebergabe=13119&user_uebergabe=neuoetting&rubrik_uebergabe=20600&session_id=4-2;;;;;;;;;;;;
;09274156;Niederbayern;Landshut;Niederaichbach;2014-08-01;http://www.gemeinde-niederaichbach.de/Informationen/Breitband;2014-08-01;http://www.gemeinde-niederaichbach.de/Informationen/Breitband;2014-11-21;http://gemeinde-niederaichbach.de/;2014-12-13;http://gemeinde-niederaichbach.de/informationen/breitband/;2015-06-13;http://gemeinde-niederaichbach.de/informationen/breitband/;2015-09-09;http://gemeinde-niederaichbach.de/informationen/breitband/;;;;;;;;
;09271138;Niederbayern;Deggendorf;Niederalteich;2014-11-04;http://www.niederalteich.de/;2014-11-04;http://breitband.regensburg-it.de/niederalteich#markterkundung-bekanntmachung;;;;;;;;;;;;;;;;
;09183130;Oberbayern;Mühldorf;Niederbergkirchen;2015-01-13;http://niederbergkirchen.de/Infos/Aktuelles.htm;2015-01-13;http://niederbergkirchen.de/Infos/Aktuelles.htm;;;;;;;;;;;;;;;;
;09473153;Oberfranken;Coburg;Niederfüllbach;2014-12-23;http://www.grub-am-forst.de/vg_grub_am_forst/Niederf%C3%BCllbach/Wirtschaft,%20Verkehr%20&%20Bauen/Ver-%20und%20Entsorgung/Breitbandausbau/;2014-12-23;http://www.grub-am-forst.de/vg_grub_am_forst/Niederf%C3%BCllbach/Wirtschaft,%20Verkehr%20&%20Bauen/Ver-%20und%20Entsorgung/Breitbandausbau/;2015-05-22;http://www.grub-am-forst.de/vg_grub_am_forst/Niederf%C3%BCllbach/Aktuelles/Breitbandausbau/;2015-05-22;http://www.grub-am-forst.de/vg_grub_am_forst/Niederf%C3%BCllbach/Aktuelles/Breitbandausbau/;;;;;;;;;;;;
;09673146;Unterfranken;Rhön-Grabfeld;Niederlauer;<b>1: </b>  2014-01-30 ||<b>2: </b>2015-04-22;||http://www.niederlauer.rhoen-saale.net/Startseite/Breitband-Verfahren2;<b>1: </b>  2014-03-13 ||<b>2: </b>2015-04-22;||http://www.niederlauer.rhoen-saale.net/Startseite/Breitband-Verfahren2;<b>1: </b>  2014-06-25 ||<b>2: </b>2015-06-04;||http://www.niederlauer.rhoen-saale.net/Startseite/Breitband-Verfahren2;<b>1: </b>  2014-06-25 ||<b>2: </b>2015-06-04;||http://www.niederlauer.rhoen-saale.net/Startseite/Breitband-Verfahren2;<b>1: </b>  2014-10-25 ||<b>2: </b>2015-10-16;||http://www.niederlauer.rhoen-saale.net/Startseite/Breitband-Verfahren2;<b>1: </b> 2015-02-02;;<b>1: </b> 2015-02-06;;<b>1: </b> 2015-02-10;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10148/150209_Fördersteckbrief_Niederlauer.pdf;;;;
;09376148;Oberpfalz;Schwandorf;Niedermurach;2013-10-22;http://www.vg-oberviechtach.de/index.phtml?La=1&sNavID=1741.7&mNavID=1741.7&object=tx|1741.8026.1&kat=&kuo=2&sub=0;2014-02-12;http://www.vg-oberviechtach.de/index.phtml?mNavID=1741.7&La=1;2014-05-01;http://www.vg-oberviechtach.de/index.phtml?La=1&sNavID=1741.7&mNavID=1741.7&object=tx|1741.8026.1&kat=&kuo=2&sub=0;2014-05-01;http://www.vg-oberviechtach.de/index.phtml?La=1&sNavID=1741.7&mNavID=1741.7&object=tx|1741.8026.1&kat=&kuo=2&sub=0;2015-06-30;http://www.niedermurach.de;2015-10-13;http://www.vg-oberviechtach.de/index.phtml?La=1&sNavID=1741.7&mNavID=1741.7&object=tx|1741.8026.1&kat=&kuo=2&sub=0;2015-10-29;http://www.vg-oberviechtach.de/media/custom/1741_912_1.PDF?1434699358;;;;;;
;09676144;Unterfranken;Miltenberg;Niedernberg;2014-07-16;http://breitband.regensburg-it.de/niedernberg#bedarfsermittlung;2014-09-26;http://breitband.regensburg-it.de/niedernberg#markterkundung-bekanntmachung;2015-03-26;http://breitband.regensburg-it.de/niedernberg#markterkundung-ergebnis;2015-03-26;http://breitband.regensburg-it.de/niedernberg#auswahlverfahren-bekanntmachung;;;;;;;;;;;;
;09779192;Schwaben;Donau-Ries;Niederschönenfeld;2015-01-22;http://www.niederschoenenfeld.de/niederschoenenfeld/index2.php?id=14;2015-01-22;http://breitband.regensburg-it.de/niederschoenenfeld#markterkundung-bekanntmachung;;;;;;;;;;;;;;;;
;09183131;Oberbayern;Mühldorf;Niedertaufkirchen;2015-01-13;http://www.niedertaufkirchen.de/Aktuelles/aktuelles.htm;2015-01-13;http://www.niedertaufkirchen.de/Aktuelles/aktuelles.htm;;;;;;;;;;;;;;;;
;09279130;Niederbayern;Dingolfing-Landau;Niederviehbach;2014-12-19;http://www.niederviehbach.de/;2014-12-19;http://www.niederviehbach.de/;2015-04-23;http://breitband.regensburg-it.de/niederviehbach;2015-04-23;http://breitband.regensburg-it.de/niederviehbach;2015-10-16;http://breitband.regensburg-it.de/niederviehbach#auswahlverfahren-ergebnis;;;2015-10-16;http://breitband.regensburg-it.de/niederviehbach#kooperationsvertrag;;;;;;
;09678160;Unterfranken;Schweinfurt;Niederwerrn;2014-08-19;http://www.niederwerrn.de/Breitbandausbau.html;2015-09-15;http://www.niederwerrn.de/Breitbandausbau.html;;;;;;;;;;;;;;;;
10.02.2015_4;09278159;Niederbayern;Straubing-Bogen;Niederwinkling;2013-10-24;http://www.niederwinkling.de/BayerischesBreitbandfoerderprogramm.aspx;2014-08-23;http://www.niederwinkling.de/BayerischesBreitbandfoerderprogramm-Richtlinievom09072014.aspx;2014-12-04;http://www.niederwinkling.de/BayerischesBreitbandfoerderprogramm-Richtlinievom09072014.aspx;2014-12-30*;http://www.vgem-schwarzach.de/BayerischesBreitbandfoerderprogramm-Richtlinievom09072014fuerdieVGemSchwarzach/Auswahlverfahren.aspx;2015-06-25;http://www.niederwinkling.de/BayerischesBreitbandfoerderprogramm-Richtlinievom09072014/BekanntmachungAuswahlentscheidung.aspx;2015-08-08;http://www.niederwinkling.de/BayerischesBreitbandfoerderprogramm-Richtlinievom09072014.aspx;2015-07-11;http://www.niederwinkling.de/BayerischesBreitbandfoerderprogramm-Richtlinievom09072014/Kooperationsvertrag.aspx;;;;;;
06.03.2015_4;09376149;Oberpfalz;Schwandorf;Nittenau, St;2014-08-20;http://www.nittenau.de;2014-08-28;http://www.nittenau.de;2014-11-21;http://www.nittenau.de;2015-01-09*;http://www.nittenau.de;2015-05-30;http://www.nittenau.de;2015-10-13;http://www.nittenau.de;2015-10-21;http://www.nittenau.de/;;;;;;
;09375175;Oberpfalz;Regensburg;Nittendorf, M;2014-04-18;http://www.nittendorf.de;2014-07-29;http://www.nittendorf.de/Start/Breitbandausbau.aspx;2015-01-31;http://www.nittendorf.de/Start/Breitbandausbau.aspx;2015-05-21;http://www.nittendorf.de/Start/Breitbandausbau.aspx;2015-10-07;http://www.nittendorf.de/Start/Breitbandausbau.aspx;;;2015-10-07;http://www.nittendorf.de/Start/Breitbandausbau.aspx;;;;;;
;09772185;Schwaben;Augsburg;Nordendorf;2014-11-21;http://www.nordendorf.de/breitband.html;2014-11-21;http://www.nordendorf.de/breitband.html;;;;;;;;;;;;;;;;
22.10.2015_4;09476159;Oberfranken;Kronach;Nordhalben, M;2014-02-04;http://www.nordhalben.de;2014-09-12;http://breitband.regensburg-it.de/nordhalben#markterkundung-anfrage;2015-07-21;http://breitband.regensburg-it.de/nordhalben#markterkundung-ergebnis;2015-07-21*;http://breitband.regensburg-it.de/nordhalben#auswahlverfahren-bekanntmachung;;;;;;;;;;;;
;09675155;Unterfranken;Kitzingen;Nordheim a.Main;2014-08-01;http://nordheim-main.de/211-0-dsl.html;2014-08-01;http://nordheim-main.de/211-0-dsl.html;2015-01-29;http://nordheim-main.de/211-0-dsl.html;2015-02-11;http://nordheim-main.de/211-0-dsl.html;2015-08-18;http://www.nordheim-main.de/files/05_auswahlentscheidung_bekanntmachung.pdf;2015-10-13;http://nordheim-main.de/211-0-dsl.html;;;;;;;;
;09673147;Unterfranken;Rhön-Grabfeld;Nordheim v.d.Rhön;2014-01-21;;2014-04-04;;2014-07-17;;2014-08-06;;2014-11-22;;2015-02-09;;2015-02-25;;2015-02-27;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10174/150224_Fördersteckbrief_NordheimVDR.pdf;;;;
;09189130;Oberbayern;Traunstein;Nußdorf;2015-01-16;http://www.nussdorf-chiemgau.de;2015-01-16;http://www.nussdorf-chiemgau.de;2015-04-02;http://www.nussdorf-chiemgau.de;2015-04-02;http://www.nussdorf-chiemgau.de/;2015-10-29;http://www.nussdorf-chiemgau.de/;;;2015-10-30;http://www.nussdorf-chiemgau.de/;;;;;;
;09187156;Oberbayern;Rosenheim;Nußdorf a.Inn;2014-05-06;http://www.nussdorf.de/index.php?id=4212,174;2014-08-02;http://www.nussdorf.de/index.php?id=4212,174;2015-03-26;http://breitband.regensburg-it.de/nussdorf;2015-03-26;http://breitband.regensburg-it.de/nussdorf;;;;;;;;;;;;
;09779194;Schwaben;Donau-Ries;Nördlingen, GKSt;2015-06-18;http://www.stadt.noerdlingen.de/trenner/aktuelles/aktuell-detail/?tx_ttnews[tt_news]=8&cHash=c219435420cad92cd39f3866b8eb7e8f;2015-06-18;http://www.stadt.noerdlingen.de/trenner/aktuelles/aktuell-detail/?tx_ttnews[tt_news]=8&cHash=c219435420cad92cd39f3866b8eb7e8f;;;;;;;;;;;;;;;;
;09672136;Unterfranken;Bad Kissingen;Nüdlingen;2014-07-08;http://www.nüdlingen.de/Aktuelles;2014-08-30;http://www.breitband-kg.de/gemeinden/nuedlingen/;2015-04-30;http://www.breitband-kg.de/gemeinden/nuedlingen/;2015-04-30;http://www.breitband-kg.de/gemeinden/nuedlingen/;2015-10-28;http://www.nuedlingen.rhoen-saale.net/Aktuelles;;;;;;;;;;
;09564000;Mittelfranken;Nürnberg;Nürnberg;2015-02-14;http://www.nuernberg.de/internet/wirtschaft/breitbanderschliessung.html;2015-02-14;http://www.nuernberg.de/internet/wirtschaft/breitbanderschliessung.html;;;;;;;;;;;;;;;;
;09180125;Oberbayern;Garmisch-Partenkirchen;Oberammergau;2015-02-12;http://www.gemeinde-oberammergau.de/beginn_bestandsaufnahme.php;2015-02-12;http://www.gemeinde-oberammergau.de/markterkundung_bekanntmachung.php;2015-10-03;http://www.gemeinde-oberammergau.de/markterkundung_ergebnis.php;2015-10-06;http://www.gemeinde-oberammergau.de/auswahlverfahren_bekanntmachung.php;;;;;;;;;;;;
01.07.2015_4;09573122;Mittelfranken;Fürth;Oberasbach, St;2014-08-23;http://www.oberasbach.de/leben/projekte/stadtentwicklung/breitbandausbau-markterkundung.html;2014-08-23;http://www.oberasbach.de/leben/projekte/stadtentwicklung/breitbandausbau-markterkundung.html;2015-04-28;http://www.oberasbach.de/leben/projekte/breitbandausbau-ergebnis-markterkundung.html;2015-04-28*;http://www.oberasbach.de/leben/projekte/breitbandausbau-ergebnis-markterkundung.html;;;;;;;;;;;;
;09180126;Oberbayern;Garmisch-Partenkirchen;Oberau;<em> 2015-01-03</em>;;<em> 2015-01-03</em>;;<em> 2015-05-27</em>;;;;;;;;;;;;;;ausgesetzt_2015-04-24
;09187157;Oberbayern;Rosenheim;Oberaudorf;<b>1: </b>  2014-05-31 ||<b>2: </b>2015-10-15;http://rathaus.oberaudorf.de/ortsinfo/breitbanderschliessung.html||http://breitband.regensburg-it.de/oberaudorf2#bestandsaufnahme;<b>1: </b>  2014-08-01 ||<b>2: </b>2015-10-15;http://rathaus.oberaudorf.de/ortsinfo/breitbanderschliessung.html||http://breitband.regensburg-it.de/oberaudorf2#markterkundung-bekanntmachung;<b>1: </b> 2015-03-26;http://breitband.regensburg-it.de/oberaudorf;<b>1: </b> 2015-03-26;http://breitband.regensburg-it.de/oberaudorf;;;;;;;;;;;;
;09674159;Unterfranken;Haßberge;Oberaurach;<b>1: </b>  2013-07-30 ||<b>2: </b>2014-05-01;||http://www.oberaurach.de/?page_id=65;<b>1: </b>  2014-01-22 ||<b>2: </b>2014-08-15;||http://www.oberaurach.de;<b>1: </b>  2014-07-11 ||<b>2: </b>2014-11-19;||http://www.breitband.zukunft-hassberge.de/index.php?id=79;<b>1: </b>  2014-07-11 ||<b>2: </b>2014-11-19;||http://www.breitband.zukunft-hassberge.de/index.php?id=79;<b>1: </b>  2014-11-26 ||<b>2: </b>2015-04-21;||http://www.oberaurach.de/?page_id=65;<b>1: </b>  2015-02-02 ||<b>2: </b>2015-10-13;||http://www.oberaurach.de;<b>1: </b> 2014-11-22;;<b>1: </b> 2015-03-06;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10181/150305_Fördersteckbrief_Oberaurach.pdf;;;;
;09183132;Oberbayern;Mühldorf;Oberbergkirchen;2015-01-23;http://www.oberbergkirchen.de/Netzcraftwerk/index.php?id_seite=1164026175;2015-01-23;http://www.oberbergkirchen.de/Netzcraftwerk/index.php?id_seite=1164026175;;;;;;;;;;;;;;;;
;09571183;Mittelfranken;Ansbach;Oberdachstetten;2014-11-18;http://www.oberdachstetten.de;2014-11-18;http://www.oberdachstetten.de;2015-05-19;http://www.oberdachstetten.de;2015-05-19;http://www.oberdachstetten.de;;;;;;;;;;;;
;09177133;Oberbayern;Erding;Oberding;2015-03-03;http://www.oberding.de;2015-03-03;http://breitband.regensburg-it.de/oberding#markterkundung-bekanntmachung;2015-09-12;http://breitband.regensburg-it.de/oberding#markterkundung-ergebnis;2015-09-12;http://breitband.regensburg-it.de/oberding#auswahlverfahren-bekanntmachung;;;;;;;;;;;;
;09176150;Oberbayern;Eichstätt;Oberdolling;2014-08-27;http://oberdolling.de/index.asp?NAVIID={F41FE70A-057C-499F-B652-5433A50B2190};2014-08-27;http://oberdolling.de/index.asp?NAVIID={F41FE70A-057C-499F-B652-5433A50B2190};2015-01-29;http://oberdolling.de/index.asp?NAVIID={F41FE70A-057C-499F-B652-5433A50B2190};2015-02-24;http://oberdolling.de/index.asp?NAVIID={F41FE70A-057C-499F-B652-5433A50B2190};;;;;;;;;;;;
;09673149;Unterfranken;Rhön-Grabfeld;Oberelsbach, M;2013-11-16;;2014-01-30;;2014-05-03;;2014-05-03;;2014-09-27;;2014-10-24;;2014-11-13;;2014-11-13;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10092/141113_Foerdersteckbrief_Oberelsbach.pdf;;;;
28.01.2015_4;09771149;Schwaben;Aichach-Friedberg;Obergriesbach;2014-09-27;http://www.vg-dasing.de/index.php?id=2191,120;2014-09-27;http://www.vg-dasing.de/index.php?id=2191,120;2014-11-29;http://obergriesbach.vg-dasing.de/index.php?id=2191,120;2014-11-29*;http://www.vg-dasing.de/index.php?id=2191,120;2015-04-08;http://obergriesbach.vg-dasing.de/index.php?id=2191,120;2015-09-28;http://www.vg-dasing.de/index.php?id=2191,120;;;;;;;;
28.09.2015_4;09777154;Schwaben;Ostallgäu;Obergünzburg, M;2014-12-23;http://www.oberguenzburg.de/breitband/foerderverfahren.html;2014-12-23;http://www.oberguenzburg.de/breitband/foerderverfahren.html;2015-09-11;http://www.oberguenzburg.de/breitband/markterkundung-ergebnis.html;2015-09-12*;http://www.oberguenzburg.de/breitband/auswahlverfahren.html;;;;;;;;;;;;
;09471165;Oberfranken;Bamberg;Oberhaid;2014-05-24;http://www.oberhaid.de/index.php?id=151;2014-08-01;http://www.oberhaid.de/index.php?id=151;2014-11-28;http://www.oberhaid.de/index.php?id=151;2014-11-28;http://www.oberhaid.de/index.php?id=151;2015-05-19;http://www.oberhaid.de/index.php?id=151;;;;;;;;;;
10.03.2015_4;09190135;Oberbayern;Weilheim-Schongau;Oberhausen;2014-08-27;http://vghuglfing.de/index.php?pageid=20&zv=10&id=91&hkat=5;2014-08-27;http://vghuglfing.de/index.php?pageid=20&zv=10&id=91&hkat=5;2014-12-30;http://vghuglfing.de/index.php?pageid=20&zv=10&id=91&hkat=5;2014-12-30*;http://vghuglfing.de/index.php?pageid=20&zv=10&id=91&hkat=5;2015-10-02;http://oberhausen-obb.de/Gemeinde_Oberhausen/Oberhausen_Breitband;;;;;;;;;;
;09575155;Mittelfranken;Neustadt a.d. Aisch;Oberickelsheim;2014-03-14;http://www.oberickelsheim.de/index.php?seite=de_bayerisches_hochgeschwindigkeitsbreitbandfoerderprogramm&status=vorschau;2014-09-11;http://www.oberickelsheim.de/de_bayerisches_hochgeschwindigkeitsbreitbandfoerderprogramm,2055.html;2015-05-07;http://www.oberickelsheim.de/de_bayerisches_hochgeschwindigkeitsbreitbandfoerderprogramm,2055.html;2015-09-05;http://www.oberickelsheim.de/de_bayerisches_hochgeschwindigkeitsbreitbandfoerderprogramm,2055.html;;;;;;;;;;;;
06.05.2015_4;09475158;Oberfranken;Hof;Oberkotzau, M;2014-08-19;http://www.oberkotzau.de/projekte/breitbandfoerderung.php;2014-08-19;http://www.oberkotzau.de/projekte/breitbandfoerderung.php;2015-03-11;http://www.oberkotzau.de/projekte/breitbandfoerderung.php;2015-03-18*;http://www.oberkotzau.de/projekte/breitbandfoerderung.php;2015-07-15;http://www.oberkotzau.de/projekte/breitbandfoerderung.php;;;;;;;;;;
;09672138;Unterfranken;Bad Kissingen;Oberleichtersbach;2014-06-25;http://www.oberleichtersbach.rhoen-saale.net/;2014-08-22;http://www.oberleichtersbach.rhoen-saale.net;2015-02-28;http://www.oberleichtersbach.rhoen-saale.net/;2015-02-28;http://www.oberleichtersbach.rhoen-saale.net/;2015-07-31;http://www.oberleichtersbach.rhoen-saale.net/internet/index.php;;;;;;;;;;
;09780131;Schwaben;Oberallgäu;Obermaiselstein;2015-09-30;http://www.hoernergruppe.de/obermaiselstein-ausbau-schnelles-internet/;2015-09-30;http://www.hoernergruppe.de/obermaiselstein-ausbau-schnelles-internet/;;;;;;;;;;;;;;;;
;09181131;Oberbayern;Landsberg am Lech;Obermeitingen;2013-02-25;http://www.obermeitingen.de/;2013-06-04;http://www.obermeitingen.de/index.php?id=1269;2014-05-23;http://www.obermeitingen.de/index.php?id=1269;2014-05-23;http://www.obermeitingen.de/index.php?id=1269;;;;;;;;;;;;
;09573123;Mittelfranken;Fürth;Obermichelbach;<em> 2014-10-30</em>;;<em> 2014-10-30</em>;;<em> 2015-03-19</em>;;;;;;;;;;;;;;ausgesetzt_2015-07-10
;09675156;Unterfranken;Kitzingen;Obernbreit, M;2014-11-01;http://www.marktbreit.info/index.php?id=markt-obernbreit;2014-11-01;http://www.marktbreit.info/index.php?id=markt-obernbreit;2015-09-25;http://www.marktbreit.info/markt-obernbreit.html?type=501;2015-09-25;http://www.marktbreit.info/markt-obernbreit.html?type=501;;;;;;;;;;;;
;09676145;Unterfranken;Miltenberg;Obernburg a.Main, St;2015-03-28;http://www.obernburg.de;2015-03-28;http://breitband.regensburg-it.de/obernburg_main#markterkundung-bekanntmachung;;;;;;;;;;;;;;;;
;09183134;Oberbayern;Mühldorf;Oberneukirchen;2015-04-02;http://www.oberneukirchen.de/content/markterkundung;2015-04-02;http://www.oberneukirchen.de/content/markterkundung;2015-09-25;http://www.oberneukirchen.de/content/markterkundung-ergebnis;2015-09-25;http://www.oberneukirchen.de/content/auswahlverfahren-bekanntmachung;;;;;;;;;;;;
;09275137;Niederbayern;Passau;Obernzell, M;<b>1: </b>  2014-05-10 ||<b>2: </b>2015-08-08;http://www.obernzell.de/index.php/99-startseite/aktuelles/149-breitbandrichtinie-ii||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Obernzell/ObernzellII.aspx;<b>1: </b>  2014-09-10 ||<b>2: </b>2015-08-08;http://www.obernzell.de/index.php/99-startseite/aktuelles/149-breitbandrichtinie-ii||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Obernzell/ObernzellII.aspx;<b>1: </b> 2014-12-04;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Obernzell.aspx;<b>1: </b> 2014-12-04;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Obernzell.aspx;<b>1: </b> 2015-07-09;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Obernzell/ObernzellI.aspx;;;<b>1: </b> 2015-10-07;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Obernzell/ObernzellI.aspx;;;;;;
;09575156;Mittelfranken;Neustadt a.d. Aisch;Obernzenn, M;2014-11-06;http://www.obernzenn.de/cms2/index.php?id=195;2014-11-06;http://www.obernzenn.de/cms2/index.php?id=195;2015-03-31;http://www.obernzenn.de/cms2/index.php?id=195;2015-03-31;http://www.obernzenn.de/cms2/index.php?id=195;2015-08-05;http://www.obernzenn.de/cms2/index.php?id=195;;;;;;;;;;
08.10.2015_4;09777155;Schwaben;Ostallgäu;Oberostendorf;2015-02-12;http://www.oberostendorf.de/breitbandversorgung/;2015-02-12;http://www.oberostendorf.de/breitbandversorgung/;2015-07-25;http://www.oberostendorf.de/breitbandversorgung/;2015-07-25*;http://www.oberostendorf.de/breitbandversorgung/;;;;;;;;;;;;
26.10.2015_4;09772186;Schwaben;Augsburg;Oberottmarshausen;2014-11-27;http://www.js-bb.de/oberottmarshausen/;2014-11-27;http://www.js-bb.de/oberottmarshausen/;2015-07-28;http://www.js-bb.de/oberottmarshausen/;2015-07-28*;http://www.js-bb.de/oberottmarshausen/;;;;;;;;;;;;
;09175131;Oberbayern;Ebersberg;Oberpframmern;2014-07-29;http://www.vg-glonn.de/breitbandausbau.html;2014-08-13;http://www.vg-glonn.de/breitbandausbau.html;2015-08-18;http://www.vg-glonn.de/breitbandausbau.html;2015-08-18;http://www.vg-glonn.de/breitbandausbau.html;;;;;;;;;;;;
;09679169;Unterfranken;Würzburg;Oberpleichfeld;2015-05-28;http://www.vg-bergtheim.de/index.php?id=0,166;2015-05-28;http://www.vg-bergtheim.de/index.php?id=0,166;;;;;;;;;;;;;;;;
;09271139;Niederbayern;Deggendorf;Oberpöring;2015-01-14;http://vg-oberpoering.de/aktuelles.html;2015-01-14;http://vg-oberpoering.de/aktuelles.html;;;;;;;;;;;;;;;;
;09572147;Mittelfranken;Erlangen-Höchstadt;Oberreichenbach;2014-03-12;http://www.oberreichenbach-erh.de/index.php?option=com_content&view=article&id=201:bedarfsmeldung-hochgeschwindigkeits-breitbandnetz&catid=1:aktuelle-nachrichten&Itemid=190;2014-08-08;http://www.oberreichenbach-erh.de/index.php?option=com_content&view=article&id=211:breitbandausbau-naechste-verfahrensstufe&catid=1:aktuelle-nachrichten&Itemid=190;2015-01-27;http://www.oberreichenbach-erh.de/index.php?option=com_content&view=article&id=220:aktueller-sachstand-zum-breitbandausbau&catid=1:aktuelle-nachrichten&Itemid=190;2015-01-27;http://www.oberreichenbach-erh.de/index.php?option=com_content&view=article&id=220:aktueller-sachstand-zum-breitbandausbau&catid=1:aktuelle-nachrichten&Itemid=190;;;;;;;;;;;;
;09776121;Schwaben;Lindau;Oberreute;2014-09-03;http://www.oberreute.de/index.shtml?breitband;2014-09-03;http://www.oberreute.de/index.shtml?breitband;2015-08-29;http://www.oberreute.de/index.shtml?breitband;2015-08-29;http://www.oberreute.de/index.shtml?breitband;;;;;;;;;;;;
;09778183;Schwaben;Unterallgäu;Oberrieden;2014-12-23;http://oberrieden.vgem-pfaffenhausen.de/index.php?id=656,110;2014-12-23;http://oberrieden.vgem-pfaffenhausen.de/index.php?id=656,110;2015-10-07;http://oberrieden.vgem-pfaffenhausen.de/index.php?id=656,110;2015-10-07;http://oberrieden.vgem-pfaffenhausen.de/index.php?id=656,110;;;;;;;;;;;;
;09575157;Mittelfranken;Neustadt a.d. Aisch;Oberscheinfeld, M;<b>1: </b>  2013-04-05 ||<b>2: </b>2014-11-08;||https://www.oberscheinfeld.de/seite/208973/breitbandausbau-2.html.;<b>1: </b>  2013-09-20 ||<b>2: </b>2014-11-08;||https://www.oberscheinfeld.de/seite/208973/breitbandausbau-2.html.;<b>1: </b>  2013-10-25 ||<b>2: </b>2015-01-03;||https://www.oberscheinfeld.de/seite/208973/breitbandausbau-2.html;<b>1: </b>  2013-11-05 ||<b>2: </b>2015-01-03;||https://www.oberscheinfeld.de/seite/208973/breitbandausbau-2.html;<b>1: </b>  2014-03-07 ||<b>2: </b>2015-06-30;||https://www.oberscheinfeld.de/seite/208973/breitbandausbau-2.html;<b>1: </b>  2014-07-24 ||<b>2: </b>2015-10-13;||https://www.oberscheinfeld.de/seite/208973/breitbandausbau-2.html;<b>1: </b>  2014-10-31 ||<b>2: </b>2015-09-19;||https://www.oberscheinfeld.de/seite/208973/breitbandausbau-2.html;<b>1: </b> 2014-11-12;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10064/150408_Fördersteckbrief_Oberscheinfeld.pdf;;;;
